location,key type,key ID,key status,display text,final_end
地牢,character,1,"1,3",你将在地牢的尸体运到了离地牢半里的空地上埋葬了起来,
地牢,character,1,0,那些被你亵渎的尸体还在地牢内，被某种力量吞噬着灵魂,
地牢,character,2,"1,3",断角的妖怪默默离开了地牢，他知道他再也无法回到原来的“家”了,
地牢,character,2,0,"断了角的妖怪被你拖出地牢火化了。
“或许它只是运气不好”
这个想法在你的脑海里一闪而过。",
地牢,object,2,2,牢房后面的房间里究竟是什么？那台可以吃人的机器是这座地牢的目的吗？,
地牢,final,,,"最大的问题是，你究竟是怎么被绑到地牢里的
你的记忆究竟去了哪里
宛如本能一般的“通灵术”是你遭受这些的理由吗？
你脑海中再次闪过一个陌生而又熟悉的词
“梵脉”
那个浑身穿着绿衣的家伙一定知道些什么
他也一定要为这座地牢里发生的事情付出代价
带着这样的想法，你向着南方客栈奔去",
南方客栈,character,4,"1,3",你安抚了客栈老板,
南方客栈,character,4,-1,你埋葬了客栈老板，并将客栈焚毁了,
南方客栈,object,14,1,将井中的尸体捞出并埋葬在客栈旁边的空地上,
南方客栈,object,8|12,3|2,"绿衣人的目标真的是贩卖私盐吗？
胆小的官兵看到这副场景跑了；胆大的官兵看到私盐就想着立功了
恐怕私盐只是他的障眼法罢了",
南方客栈,object,13|11,"2,-1|-1","那台机器究竟是什么？
“欢乐四弟电影”是什么？应该不是本土产物
是西域来的吗？不，西域没有那么高的技术
恐怕是天外之物",
南方客栈,final,,,"绿衣人不是善茬
但是那阻止不了你
他有太多的债要还
而且你也有太多的问题要问他。",
大漠地下,final,,,"苦修者将周围的沙粒涂在身上，让你割开掌心按在他的背上。
<p class=""painful-fadeIn"">这可以将痛觉转化为定位信标。</p>
你和苦修者盘腿而坐，他身上的温度却越来越高。
之后他的血液几乎沸腾，沙粒在身上变为特殊脉络，和你印象中的星空一样。
苦修者口吐白沫，两眼上翻，惨叫几乎要把你的脑袋震碎了。
你发现自身身体在莫名蒸发，同时从手掌开始剧烈疼痛蔓延全身，眼前发白。",
另一个世界,final,,,"<p class=""snake-fadeIn"">真是对牛弹琴</p>
你的面门被那人用手肘击打，
之后左肘立刻被铁钳般的力道反折至背后。
你被他扭送到了一个小房间内，
随后就听到门关上的声音。
<p class=""snake-fadeIn"">我先把你关这里面，你老实点</p>",
小仓库,final,,,"你终于从房间中逃出。
还没来得及感叹这个世界的奇异，
你又看到了惊人的一幕。",
实验室,final,,,"周围一片混乱
虽然有了一些常识，但是想要在这里存活，最好还是需要一个帮手
好人、而且还得是有能力的人
于是你不计鬣狗将你关起来的前嫌，将它拖动到了旁边带有红十字标志的房间里去",
医务室,final,,,"尽管你仍然能感受到鬣狗灵魂中有一部分抗拒你的通灵，
但是由于绿衣人的入侵，你还是进入了他的深层记忆。
现在的问题就是如何挽留他正在流逝的灵魂了。",
深层意识,final,,,"任务完成的瞬间，你弓身钻入生锈铁梯，污水腐臭味钻进鼻腔
爬出检修口时刺眼光线割开眼皮，枪管反光正来自战术背心浸汗的警卫
""移动即击毙""的低吼震响耳膜，喉结滚动时尝到枪油味，太阳穴随耳鸣突突狂跳
金属闷响炸裂耳膜，警卫瘫软前鬓狗的战术手电已精准敲击颈动脉窦
鬓狗扯下面罩露出擦伤的下颌：
<p class=""BOSS-fadeIn"">监控显示外围无增援，三十秒撤离窗口！</p>
<placeholder_for_img:boss_saved_you>",
恐怖分子基地,final,,,,
